50
-23.952	-3.172
37.031	48.294
-4.742	-35.158
-24.861	25.846
4.423	-9.335
-40.394	46.75
24.033	-23.092
9.17	-6.435
10.596	42.632
39.345	-29.173
-44.172	48.455
48.572	11.736
-35.029	-7.151
15.846	-10.97
-26.036	37.858
38.91	-34.69
-3.432	0.931
-0.663	-36.796
27.448	11.744
-12.852	2.356
-15.051	10.07
-42.453	-39.661
44.59	-14.854
24.859	-42.931
-49.666	-7.464
36.559	-28.063
-1.068	-20.109
-28.391	1.953
-8.093	-44.789
9.794	-23.837
-41.718	-8.997
-33.177	-43.217
-47.078	12.638
32.429	-30.096
-6.562	-1.257
-48.851	-14.182
18.271	47.154
4.703	6.151
-25.693	-24.252
47.857	15.043
24.509	8.728
-49.562	-0.541
-1.707	-3.694
28.345	26.451
-39.64	31.436
-47.109	-11.41
42.57	35.915
-25.189	42.713
-49.237	3.928
28.514	47.887
